Teknikk;Ermann;Bohf;Antall;aldergr;aar;teknikk_txt;bohf_txt
1;0;15;0;2;2013;Pinning;Akershus
1;0;15;0;2;2014;Pinning;Akershus
1;0;15;0;2;2015;Pinning;Akershus
1;0;15;0;3;2013;Pinning;Akershus
1;0;15;3;3;2014;Pinning;Akershus
1;0;15;1;3;2015;Pinning;Akershus
1;0;15;3;4;2013;Pinning;Akershus
1;0;15;0;4;2014;Pinning;Akershus
1;0;15;1;4;2015;Pinning;Akershus
1;0;16;1;1;2013;Pinning;OUS
1;0;16;3;1;2014;Pinning;OUS
1;0;16;1;1;2015;Pinning;OUS
1;0;16;0;2;2013;Pinning;OUS
1;0;16;0;2;2014;Pinning;OUS
1;0;16;0;2;2015;Pinning;OUS
1;0;16;0;3;2013;Pinning;OUS
1;0;16;0;3;2014;Pinning;OUS
1;0;16;0;3;2015;Pinning;OUS
1;0;16;0;4;2013;Pinning;OUS
1;0;16;1;4;2014;Pinning;OUS
1;0;16;2;4;2015;Pinning;OUS
1;0;19;1;1;2013;Pinning;Innlandet
1;0;19;0;1;2014;Pinning;Innlandet
1;0;19;0;1;2015;Pinning;Innlandet
1;0;19;3;2;2013;Pinning;Innlandet
1;0;19;1;2;2014;Pinning;Innlandet
1;0;19;1;2;2015;Pinning;Innlandet
1;0;19;2;3;2013;Pinning;Innlandet
1;0;19;0;3;2014;Pinning;Innlandet
1;0;19;1;3;2015;Pinning;Innlandet
1;0;19;1;4;2013;Pinning;Innlandet
1;0;19;2;4;2014;Pinning;Innlandet
1;0;19;2;4;2015;Pinning;Innlandet
1;0;20;3;1;2013;Pinning;Vestre Viken
1;0;20;1;1;2014;Pinning;Vestre Viken
1;0;20;1;1;2015;Pinning;Vestre Viken
1;0;20;1;2;2013;Pinning;Vestre Viken
1;0;20;1;2;2014;Pinning;Vestre Viken
1;0;20;0;2;2015;Pinning;Vestre Viken
1;0;20;0;3;2013;Pinning;Vestre Viken
1;0;20;0;3;2014;Pinning;Vestre Viken
1;0;20;0;3;2015;Pinning;Vestre Viken
1;0;20;0;4;2013;Pinning;Vestre Viken
1;0;20;2;4;2014;Pinning;Vestre Viken
1;0;20;2;4;2015;Pinning;Vestre Viken
1;0;21;2;1;2013;Pinning;Vestfold
1;0;21;2;1;2014;Pinning;Vestfold
1;0;21;1;1;2015;Pinning;Vestfold
1;0;21;1;2;2013;Pinning;Vestfold
1;0;21;1;2;2014;Pinning;Vestfold
1;0;21;0;2;2015;Pinning;Vestfold
1;0;21;0;3;2013;Pinning;Vestfold
1;0;21;1;3;2014;Pinning;Vestfold
1;0;21;0;3;2015;Pinning;Vestfold
1;0;21;3;4;2013;Pinning;Vestfold
1;0;21;1;4;2014;Pinning;Vestfold
1;0;21;4;4;2015;Pinning;Vestfold
1;0;22;2;1;2013;Pinning;Telemark
1;0;22;0;1;2014;Pinning;Telemark
1;0;22;0;1;2015;Pinning;Telemark
1;0;22;0;2;2013;Pinning;Telemark
1;0;22;1;2;2014;Pinning;Telemark
1;0;22;0;2;2015;Pinning;Telemark
1;0;22;0;3;2013;Pinning;Telemark
1;0;22;3;3;2014;Pinning;Telemark
1;0;22;1;3;2015;Pinning;Telemark
1;0;22;2;4;2013;Pinning;Telemark
1;0;22;0;4;2014;Pinning;Telemark
1;0;22;0;4;2015;Pinning;Telemark
1;0;23;1;1;2013;Pinning;Sørlandet
1;0;23;3;1;2014;Pinning;Sørlandet
1;0;23;0;1;2015;Pinning;Sørlandet
1;0;23;1;2;2013;Pinning;Sørlandet
1;0;23;1;2;2014;Pinning;Sørlandet
1;0;23;1;2;2015;Pinning;Sørlandet
1;0;23;0;3;2013;Pinning;Sørlandet
1;0;23;2;3;2014;Pinning;Sørlandet
1;0;23;1;3;2015;Pinning;Sørlandet
1;0;23;1;4;2013;Pinning;Sørlandet
1;0;23;4;4;2014;Pinning;Sørlandet
1;0;23;0;4;2015;Pinning;Sørlandet
1;1;1;0;1;2013;Pinning;Finnmark
1;1;1;0;1;2014;Pinning;Finnmark
1;1;1;1;1;2015;Pinning;Finnmark
1;1;1;1;2;2013;Pinning;Finnmark
1;1;1;1;2;2014;Pinning;Finnmark
1;1;1;0;2;2015;Pinning;Finnmark
1;1;1;0;3;2013;Pinning;Finnmark
1;1;1;0;3;2014;Pinning;Finnmark
1;1;1;0;3;2015;Pinning;Finnmark
1;1;1;1;4;2013;Pinning;Finnmark
1;1;1;0;4;2014;Pinning;Finnmark
1;1;1;0;4;2015;Pinning;Finnmark
1;1;2;2;1;2013;Pinning;UNN
1;1;2;0;1;2014;Pinning;UNN
1;1;2;0;1;2015;Pinning;UNN
1;1;2;1;2;2013;Pinning;UNN
1;1;2;1;2;2014;Pinning;UNN
1;1;2;1;2;2015;Pinning;UNN
1;1;2;1;3;2013;Pinning;UNN
1;1;2;1;3;2014;Pinning;UNN
1;1;2;0;3;2015;Pinning;UNN
1;1;2;1;4;2013;Pinning;UNN
1;1;2;0;4;2014;Pinning;UNN
1;1;2;1;4;2015;Pinning;UNN
1;1;3;0;1;2013;Pinning;Nordland
1;1;3;1;1;2014;Pinning;Nordland
1;1;3;0;1;2015;Pinning;Nordland
1;1;3;0;2;2013;Pinning;Nordland
1;1;3;2;2;2014;Pinning;Nordland
1;1;3;0;2;2015;Pinning;Nordland
1;1;3;0;3;2013;Pinning;Nordland
1;1;3;0;3;2014;Pinning;Nordland
1;1;3;0;3;2015;Pinning;Nordland
1;1;3;0;4;2013;Pinning;Nordland
1;1;3;1;4;2014;Pinning;Nordland
1;1;3;0;4;2015;Pinning;Nordland
1;1;4;2;1;2013;Pinning;Helgeland
1;1;4;1;1;2014;Pinning;Helgeland
1;1;4;2;1;2015;Pinning;Helgeland
1;1;4;0;2;2013;Pinning;Helgeland
1;1;4;0;2;2014;Pinning;Helgeland
1;1;4;0;2;2015;Pinning;Helgeland
1;1;4;0;3;2013;Pinning;Helgeland
1;1;4;0;3;2014;Pinning;Helgeland
1;1;4;0;3;2015;Pinning;Helgeland
1;1;4;0;4;2013;Pinning;Helgeland
1;1;4;1;4;2014;Pinning;Helgeland
1;1;4;0;4;2015;Pinning;Helgeland
1;1;6;2;1;2013;Pinning;Nord-Trøndelag
1;1;6;0;1;2014;Pinning;Nord-Trøndelag
1;1;6;1;1;2015;Pinning;Nord-Trøndelag
1;1;6;0;2;2013;Pinning;Nord-Trøndelag
1;1;6;1;2;2014;Pinning;Nord-Trøndelag
1;1;6;0;2;2015;Pinning;Nord-Trøndelag
1;1;6;0;3;2013;Pinning;Nord-Trøndelag
1;1;6;2;3;2014;Pinning;Nord-Trøndelag
1;1;6;0;3;2015;Pinning;Nord-Trøndelag
1;1;6;2;4;2013;Pinning;Nord-Trøndelag
1;1;6;3;4;2014;Pinning;Nord-Trøndelag
1;1;6;2;4;2015;Pinning;Nord-Trøndelag
1;1;7;2;1;2013;Pinning;St. Olavs
1;1;7;2;1;2014;Pinning;St. Olavs
1;1;7;1;1;2015;Pinning;St. Olavs
1;1;7;0;2;2013;Pinning;St. Olavs
1;1;7;0;2;2014;Pinning;St. Olavs
1;1;7;0;2;2015;Pinning;St. Olavs
1;1;7;2;3;2013;Pinning;St. Olavs
1;1;7;2;3;2014;Pinning;St. Olavs
1;1;7;1;3;2015;Pinning;St. Olavs
1;1;7;2;4;2013;Pinning;St. Olavs
1;1;7;1;4;2014;Pinning;St. Olavs
1;1;7;0;4;2015;Pinning;St. Olavs
1;1;8;0;1;2013;Pinning;Møre og Romsdal
1;1;8;1;1;2014;Pinning;Møre og Romsdal
1;1;8;1;1;2015;Pinning;Møre og Romsdal
1;1;8;0;2;2013;Pinning;Møre og Romsdal
1;1;8;1;2;2014;Pinning;Møre og Romsdal
1;1;8;1;2;2015;Pinning;Møre og Romsdal
1;1;8;1;3;2013;Pinning;Møre og Romsdal
1;1;8;2;3;2014;Pinning;Møre og Romsdal
1;1;8;0;3;2015;Pinning;Møre og Romsdal
1;1;8;0;4;2013;Pinning;Møre og Romsdal
1;1;8;5;4;2014;Pinning;Møre og Romsdal
1;1;8;0;4;2015;Pinning;Møre og Romsdal
1;1;10;0;1;2013;Pinning;Førde
1;1;10;0;1;2014;Pinning;Førde
1;1;10;0;1;2015;Pinning;Førde
1;1;10;1;2;2013;Pinning;Førde
1;1;10;0;2;2014;Pinning;Førde
1;1;10;0;2;2015;Pinning;Førde
1;1;10;1;3;2013;Pinning;Førde
1;1;10;0;3;2014;Pinning;Førde
1;1;10;0;3;2015;Pinning;Førde
1;1;10;0;4;2013;Pinning;Førde
1;1;10;1;4;2014;Pinning;Førde
1;1;10;0;4;2015;Pinning;Førde
1;1;11;2;1;2013;Pinning;Bergen
1;1;11;1;1;2014;Pinning;Bergen
1;1;11;2;1;2015;Pinning;Bergen
1;1;11;3;2;2013;Pinning;Bergen
1;1;11;0;2;2014;Pinning;Bergen
1;1;11;0;2;2015;Pinning;Bergen
1;1;11;2;3;2013;Pinning;Bergen
1;1;11;1;3;2014;Pinning;Bergen
1;1;11;1;3;2015;Pinning;Bergen
1;1;11;4;4;2013;Pinning;Bergen
1;1;11;1;4;2014;Pinning;Bergen
1;1;11;0;4;2015;Pinning;Bergen
1;1;12;3;1;2013;Pinning;Fonna
1;1;12;0;1;2014;Pinning;Fonna
1;1;12;0;1;2015;Pinning;Fonna
1;1;12;0;2;2013;Pinning;Fonna
1;1;12;1;2;2014;Pinning;Fonna
1;1;12;0;2;2015;Pinning;Fonna
1;1;12;1;3;2013;Pinning;Fonna
1;1;12;0;3;2014;Pinning;Fonna
1;1;12;0;3;2015;Pinning;Fonna
1;1;12;0;4;2013;Pinning;Fonna
1;1;12;2;4;2014;Pinning;Fonna
1;1;12;1;4;2015;Pinning;Fonna
1;1;13;3;1;2013;Pinning;Stavanger
1;1;13;1;1;2014;Pinning;Stavanger
1;1;13;2;1;2015;Pinning;Stavanger
1;1;13;2;2;2013;Pinning;Stavanger
1;1;13;0;2;2014;Pinning;Stavanger
1;1;13;0;2;2015;Pinning;Stavanger
1;1;13;2;3;2013;Pinning;Stavanger
1;1;13;1;3;2014;Pinning;Stavanger
1;1;13;1;3;2015;Pinning;Stavanger
1;1;13;4;4;2013;Pinning;Stavanger
1;1;13;1;4;2014;Pinning;Stavanger
1;1;13;2;4;2015;Pinning;Stavanger
1;1;14;0;1;2013;Pinning;Østfold
1;1;14;0;1;2014;Pinning;Østfold
1;1;14;0;1;2015;Pinning;Østfold
1;1;14;0;2;2013;Pinning;Østfold
1;1;14;0;2;2014;Pinning;Østfold
1;1;14;0;2;2015;Pinning;Østfold
1;1;14;0;3;2013;Pinning;Østfold
1;1;14;0;3;2014;Pinning;Østfold
1;1;14;0;3;2015;Pinning;Østfold
1;1;14;0;4;2013;Pinning;Østfold
1;1;14;0;4;2014;Pinning;Østfold
1;1;14;0;4;2015;Pinning;Østfold
1;1;15;1;1;2013;Pinning;Akershus
1;1;15;2;1;2014;Pinning;Akershus
1;1;15;2;1;2015;Pinning;Akershus
1;1;15;0;2;2013;Pinning;Akershus
1;1;15;0;2;2014;Pinning;Akershus
1;1;15;0;2;2015;Pinning;Akershus
1;1;15;2;3;2013;Pinning;Akershus
1;1;15;0;3;2014;Pinning;Akershus
1;1;15;0;3;2015;Pinning;Akershus
1;1;15;1;4;2013;Pinning;Akershus
1;1;15;0;4;2014;Pinning;Akershus
1;1;15;2;4;2015;Pinning;Akershus
1;1;16;0;1;2013;Pinning;OUS
1;1;16;0;1;2014;Pinning;OUS
1;1;16;1;1;2015;Pinning;OUS
1;1;16;0;2;2013;Pinning;OUS
1;1;16;0;2;2014;Pinning;OUS
1;1;16;0;2;2015;Pinning;OUS
1;1;16;0;3;2013;Pinning;OUS
1;1;16;0;3;2014;Pinning;OUS
1;1;16;0;3;2015;Pinning;OUS
1;1;16;1;4;2013;Pinning;OUS
1;1;16;1;4;2014;Pinning;OUS
1;1;16;0;4;2015;Pinning;OUS
1;1;19;1;1;2013;Pinning;Innlandet
1;1;19;1;1;2014;Pinning;Innlandet
1;1;19;3;1;2015;Pinning;Innlandet
1;1;19;1;2;2013;Pinning;Innlandet
1;1;19;0;2;2014;Pinning;Innlandet
1;1;19;0;2;2015;Pinning;Innlandet
1;1;19;1;3;2013;Pinning;Innlandet
1;1;19;1;3;2014;Pinning;Innlandet
1;1;19;1;3;2015;Pinning;Innlandet
1;1;19;0;4;2013;Pinning;Innlandet
1;1;19;0;4;2014;Pinning;Innlandet
1;1;19;0;4;2015;Pinning;Innlandet
1;1;20;0;1;2013;Pinning;Vestre Viken
1;1;20;1;1;2014;Pinning;Vestre Viken
1;1;20;2;1;2015;Pinning;Vestre Viken
1;1;20;0;2;2013;Pinning;Vestre Viken
1;1;20;0;2;2014;Pinning;Vestre Viken
1;1;20;1;2;2015;Pinning;Vestre Viken
1;1;20;1;3;2013;Pinning;Vestre Viken
1;1;20;1;3;2014;Pinning;Vestre Viken
1;1;20;1;3;2015;Pinning;Vestre Viken
1;1;20;0;4;2013;Pinning;Vestre Viken
1;1;20;0;4;2014;Pinning;Vestre Viken
1;1;20;4;4;2015;Pinning;Vestre Viken
1;1;21;2;1;2013;Pinning;Vestfold
1;1;21;0;1;2014;Pinning;Vestfold
1;1;21;0;1;2015;Pinning;Vestfold
1;1;21;0;2;2013;Pinning;Vestfold
1;1;21;0;2;2014;Pinning;Vestfold
1;1;21;0;2;2015;Pinning;Vestfold
1;1;21;1;3;2013;Pinning;Vestfold
1;1;21;0;3;2014;Pinning;Vestfold
1;1;21;0;3;2015;Pinning;Vestfold
1;1;21;1;4;2013;Pinning;Vestfold
1;1;21;2;4;2014;Pinning;Vestfold
1;1;21;1;4;2015;Pinning;Vestfold
1;1;22;0;1;2013;Pinning;Telemark
1;1;22;0;1;2014;Pinning;Telemark
1;1;22;0;1;2015;Pinning;Telemark
1;1;22;0;2;2013;Pinning;Telemark
1;1;22;0;2;2014;Pinning;Telemark
1;1;22;0;2;2015;Pinning;Telemark
1;1;22;0;3;2013;Pinning;Telemark
1;1;22;0;3;2014;Pinning;Telemark
1;1;22;0;3;2015;Pinning;Telemark
1;1;22;0;4;2013;Pinning;Telemark
1;1;22;0;4;2014;Pinning;Telemark
1;1;22;0;4;2015;Pinning;Telemark
1;1;23;1;1;2013;Pinning;Sørlandet
1;1;23;0;1;2014;Pinning;Sørlandet
1;1;23;1;1;2015;Pinning;Sørlandet
1;1;23;1;2;2013;Pinning;Sørlandet
1;1;23;1;2;2014;Pinning;Sørlandet
1;1;23;1;2;2015;Pinning;Sørlandet
1;1;23;1;3;2013;Pinning;Sørlandet
1;1;23;2;3;2014;Pinning;Sørlandet
1;1;23;1;3;2015;Pinning;Sørlandet
1;1;23;2;4;2013;Pinning;Sørlandet
1;1;23;0;4;2014;Pinning;Sørlandet
1;1;23;1;4;2015;Pinning;Sørlandet
2;0;1;5;1;2013;Hemipro;Finnmark
2;0;1;6;1;2014;Hemipro;Finnmark
2;0;1;3;1;2015;Hemipro;Finnmark
2;0;1;7;2;2013;Hemipro;Finnmark
2;0;1;4;2;2014;Hemipro;Finnmark
2;0;1;6;2;2015;Hemipro;Finnmark
2;0;1;8;3;2013;Hemipro;Finnmark
2;0;1;7;3;2014;Hemipro;Finnmark
2;0;1;6;3;2015;Hemipro;Finnmark
2;0;1;3;4;2013;Hemipro;Finnmark
2;0;1;5;4;2014;Hemipro;Finnmark
2;0;1;7;4;2015;Hemipro;Finnmark
2;0;2;11;1;2013;Hemipro;UNN
2;0;2;13;1;2014;Hemipro;UNN
2;0;2;10;1;2015;Hemipro;UNN
2;0;2;9;2;2013;Hemipro;UNN
2;0;2;7;2;2014;Hemipro;UNN
2;0;2;14;2;2015;Hemipro;UNN
2;0;2;20;3;2013;Hemipro;UNN
2;0;2;8;3;2014;Hemipro;UNN
2;0;2;19;3;2015;Hemipro;UNN
2;0;2;19;4;2013;Hemipro;UNN
2;0;2;18;4;2014;Hemipro;UNN
2;0;2;26;4;2015;Hemipro;UNN
2;0;3;12;1;2013;Hemipro;Nordland
2;0;3;8;1;2014;Hemipro;Nordland
2;0;3;13;1;2015;Hemipro;Nordland
2;0;3;15;2;2013;Hemipro;Nordland
2;0;3;22;2;2014;Hemipro;Nordland
2;0;3;12;2;2015;Hemipro;Nordland
2;0;3;18;3;2013;Hemipro;Nordland
2;0;3;20;3;2014;Hemipro;Nordland
2;0;3;21;3;2015;Hemipro;Nordland
2;0;3;20;4;2013;Hemipro;Nordland
2;0;3;16;4;2014;Hemipro;Nordland
2;0;3;13;4;2015;Hemipro;Nordland
2;0;4;7;1;2013;Hemipro;Helgeland
2;0;4;7;1;2014;Hemipro;Helgeland
2;0;4;8;1;2015;Hemipro;Helgeland
2;0;4;7;2;2013;Hemipro;Helgeland
2;0;4;1;2;2014;Hemipro;Helgeland
2;0;4;4;2;2015;Hemipro;Helgeland
2;0;4;6;3;2013;Hemipro;Helgeland
2;0;4;5;3;2014;Hemipro;Helgeland
2;0;4;3;3;2015;Hemipro;Helgeland
2;0;4;4;4;2013;Hemipro;Helgeland
2;0;4;9;4;2014;Hemipro;Helgeland
2;0;4;7;4;2015;Hemipro;Helgeland
2;0;6;6;1;2013;Hemipro;Nord-Trøndelag
2;0;6;7;1;2014;Hemipro;Nord-Trøndelag
2;0;6;11;1;2015;Hemipro;Nord-Trøndelag
2;0;6;8;2;2013;Hemipro;Nord-Trøndelag
2;0;6;8;2;2014;Hemipro;Nord-Trøndelag
2;0;6;16;2;2015;Hemipro;Nord-Trøndelag
2;0;6;14;3;2013;Hemipro;Nord-Trøndelag
2;0;6;12;3;2014;Hemipro;Nord-Trøndelag
2;0;6;16;3;2015;Hemipro;Nord-Trøndelag
2;0;6;22;4;2013;Hemipro;Nord-Trøndelag
2;0;6;11;4;2014;Hemipro;Nord-Trøndelag
2;0;6;9;4;2015;Hemipro;Nord-Trøndelag
2;0;7;20;1;2013;Hemipro;St. Olavs
2;0;7;18;1;2014;Hemipro;St. Olavs
2;0;7;18;1;2015;Hemipro;St. Olavs
2;0;7;26;2;2013;Hemipro;St. Olavs
2;0;7;30;2;2014;Hemipro;St. Olavs
2;0;7;24;2;2015;Hemipro;St. Olavs
2;0;7;32;3;2013;Hemipro;St. Olavs
2;0;7;40;3;2014;Hemipro;St. Olavs
2;0;7;27;3;2015;Hemipro;St. Olavs
2;0;7;33;4;2013;Hemipro;St. Olavs
2;0;7;28;4;2014;Hemipro;St. Olavs
2;0;7;40;4;2015;Hemipro;St. Olavs
2;0;8;19;1;2013;Hemipro;Møre og Romsdal
2;0;8;13;1;2014;Hemipro;Møre og Romsdal
2;0;8;4;1;2015;Hemipro;Møre og Romsdal
2;0;8;19;2;2013;Hemipro;Møre og Romsdal
2;0;8;33;2;2014;Hemipro;Møre og Romsdal
2;0;8;25;2;2015;Hemipro;Møre og Romsdal
2;0;8;27;3;2013;Hemipro;Møre og Romsdal
2;0;8;36;3;2014;Hemipro;Møre og Romsdal
2;0;8;25;3;2015;Hemipro;Møre og Romsdal
2;0;8;44;4;2013;Hemipro;Møre og Romsdal
2;0;8;43;4;2014;Hemipro;Møre og Romsdal
2;0;8;38;4;2015;Hemipro;Møre og Romsdal
2;0;10;6;1;2013;Hemipro;Førde
2;0;10;8;1;2014;Hemipro;Førde
2;0;10;5;1;2015;Hemipro;Førde
2;0;10;6;2;2013;Hemipro;Førde
2;0;10;8;2;2014;Hemipro;Førde
2;0;10;3;2;2015;Hemipro;Førde
2;0;10;6;3;2013;Hemipro;Førde
2;0;10;6;3;2014;Hemipro;Førde
2;0;10;10;3;2015;Hemipro;Førde
2;0;10;18;4;2013;Hemipro;Førde
2;0;10;9;4;2014;Hemipro;Førde
2;0;10;14;4;2015;Hemipro;Førde
2;0;11;41;1;2013;Hemipro;Bergen
2;0;11;39;1;2014;Hemipro;Bergen
2;0;11;33;1;2015;Hemipro;Bergen
2;0;11;34;2;2013;Hemipro;Bergen
2;0;11;47;2;2014;Hemipro;Bergen
2;0;11;41;2;2015;Hemipro;Bergen
2;0;11;52;3;2013;Hemipro;Bergen
2;0;11;40;3;2014;Hemipro;Bergen
2;0;11;40;3;2015;Hemipro;Bergen
2;0;11;49;4;2013;Hemipro;Bergen
2;0;11;49;4;2014;Hemipro;Bergen
2;0;11;56;4;2015;Hemipro;Bergen
2;0;12;15;1;2013;Hemipro;Fonna
2;0;12;11;1;2014;Hemipro;Fonna
2;0;12;14;1;2015;Hemipro;Fonna
2;0;12;17;2;2013;Hemipro;Fonna
2;0;12;21;2;2014;Hemipro;Fonna
2;0;12;22;2;2015;Hemipro;Fonna
