aar;BoHF;BoHF_txt;ald_gr;ErMann;TellerC;NevnerC
2015;11;Bergen;2;0;62;64
2015;11;Bergen;2;1;109;113
2015;11;Bergen;3;0;138;143
2015;11;Bergen;3;1;79;83
2015;12;Fonna;1;0;47;48
2015;12;Fonna;1;1;65;75
2015;12;Fonna;2;0;25;26
2015;12;Fonna;2;1;60;67
2015;12;Fonna;3;0;71;74
2015;12;Fonna;3;1;35;41
2015;13;Stavanger;1;0;46;47
2015;13;Stavanger;1;1;100;102
2015;13;Stavanger;2;0;43;44
2015;13;Stavanger;2;1;69;70
2015;13;Stavanger;3;0;64;65
2015;13;Stavanger;3;1;67;68
2015;14;Østfold;1;0;57;57
2015;14;Østfold;1;1;107;112
2015;14;Østfold;2;0;73;73
2015;14;Østfold;2;1;79;82
2015;14;Østfold;3;0;90;92
2015;14;Østfold;3;1;51;52
2015;15;Akershus;1;0;52;56
2015;15;Akershus;1;1;87;91
2015;15;Akershus;2;0;47;47
2015;15;Akershus;2;1;70;70
2015;15;Akershus;3;0;62;62
2015;15;Akershus;3;1;54;54
2015;16;Oslo;1;0;106;109
2015;16;Oslo;1;1;210;213
2015;16;Oslo;2;0;94;99
2015;16;Oslo;2;1;136;137
2015;16;Oslo;3;0;176;183
2015;16;Oslo;3;1;90;92
2015;19;Innlandet;1;0;91;111
2015;19;Innlandet;1;1;160;190
2015;19;Innlandet;2;0;93;114
2015;19;Innlandet;2;1;110;145
2015;19;Innlandet;3;0;126;166
2015;19;Innlandet;3;1;104;119
2015;20;Vestre Viken;1;0;93;95
2015;20;Vestre Viken;1;1;168;173
2015;20;Vestre Viken;2;0;111;114
2015;20;Vestre Viken;2;1;132;137
2015;20;Vestre Viken;3;0;164;168
2015;20;Vestre Viken;3;1;92;97
2015;21;Vestfold;1;0;36;41
2015;21;Vestfold;1;1;82;91
2015;21;Vestfold;2;0;41;49
2015;21;Vestfold;2;1;61;70
2015;21;Vestfold;3;0;65;76
2015;21;Vestfold;3;1;46;53
2015;22;Telemark;1;0;37;37
2015;22;Telemark;1;1;67;82
2015;22;Telemark;2;0;47;54
2015;22;Telemark;2;1;42;46
2015;22;Telemark;3;0;69;81
2015;22;Telemark;3;1;37;43
2015;23;Sørlandet;1;0;41;46
2015;23;Sørlandet;1;1;93;102
2015;23;Sørlandet;2;0;58;64
2015;23;Sørlandet;2;1;79;80
2015;23;Sørlandet;3;0;91;100
2015;23;Sørlandet;3;1;70;72
2014;9999;Norge;1;0;927;1009
2014;9999;Norge;1;1;1779;1922
2014;9999;Norge;2;0;1027;1121
2014;9999;Norge;2;1;1324;1447
2014;9999;Norge;3;0;1579;1773
2014;9999;Norge;3;1;1019;1143
2015;9999;Norge;1;0;936;1004
2015;9999;Norge;1;1;1814;1958
2015;9999;Norge;2;0;1062;1146
2015;9999;Norge;2;1;1397;1511
2015;9999;Norge;3;0;1609;1762
2015;9999;Norge;3;1;1057;1153
