bohf;bohf_gammel;bohf_txt
1;Finnmark;Finnmark
2;UNN;UNN
3;Nordland;Nordland
4;Helgeland;Helgeland
6;Nord-Trøndelag;Nord-Trøndelag
7;St. Olavs;St. Olavs
8;Møre og Romsdal;Møre og Romsdal
10;Førde;Førde
11;Bergen;Bergen
12;Fonna;Fonna
13;Stavanger;Stavanger
14;Østfold;Østfold
15;Akershus;Ahus
16;Oslo;OUS
17;;Lovisenberg
18;;Diakonhjemmet
19;Innlandet;Innlandet
20;Vestre Viken;Vestre Viken
21;Vestfold;Vestfold
22;Telemark;Telemark
23;Sørlandet;Sørlandet
9999;Norge;Norge
